label,score_type,decision_boundary,decision_boundary,label,scores
0.0,precision,0.30000000000000004,0.30000000000000004,0.0,0.8
0.0,precision,0.4,0.4,0.0,0.8
0.0,precision,0.5,0.5,0.0,0.8375
0.0,precision,0.6,0.6,0.0,0.8333333333333333
0.0,precision,0.7000000000000001,0.7000000000000001,0.0,0.8333333333333334
0.0,precision,0.8,0.8,0.0,1.0
0.0,precision,0.9,0.9,0.0,
0.0,precision,1.0,1.0,0.0,
0.0,recall,0.30000000000000004,0.30000000000000004,0.0,0.525
0.0,recall,0.4,0.4,0.0,0.475
0.0,recall,0.5,0.5,0.0,0.42499999999999993
0.0,recall,0.6,0.6,0.0,0.33333333333333337
0.0,recall,0.7000000000000001,0.7000000000000001,0.0,0.14166666666666666
0.0,recall,0.8,0.8,0.0,0.041666666666666664
0.0,recall,0.9,0.9,0.0,0.0
0.0,recall,1.0,1.0,0.0,0.0
1.0,precision,0.30000000000000004,0.30000000000000004,1.0,0.9009255306060957
1.0,precision,0.4,0.4,1.0,0.902997557997558
1.0,precision,0.5,0.5,1.0,0.921096236863908
1.0,precision,0.6,0.6,1.0,0.9469765663229459
1.0,precision,0.7000000000000001,0.7000000000000001,1.0,0.9536081261275393
1.0,precision,0.8,0.8,1.0,0.9809368191721133
1.0,precision,0.9,0.9,1.0,1.0
1.0,precision,1.0,1.0,1.0,
1.0,recall,0.30000000000000004,0.30000000000000004,1.0,0.9305555555555556
1.0,recall,0.4,0.4,1.0,0.9236111111111112
1.0,recall,0.5,0.5,1.0,0.9131944444444444
1.0,recall,0.6,0.6,1.0,0.84375
1.0,recall,0.7000000000000001,0.7000000000000001,1.0,0.7743055555555556
1.0,recall,0.8,0.8,1.0,0.7048611111111112
1.0,recall,0.9,0.9,1.0,0.5729166666666667
1.0,recall,1.0,1.0,1.0,0.0
2.0,precision,0.30000000000000004,0.30000000000000004,2.0,0.773015873015873
2.0,precision,0.4,0.4,2.0,0.7885790679908328
2.0,precision,0.5,0.5,2.0,0.81526284348865
2.0,precision,0.6,0.6,2.0,0.8460930373973852
2.0,precision,0.7000000000000001,0.7000000000000001,2.0,0.9070101724900486
2.0,precision,0.8,0.8,2.0,1.0
2.0,precision,0.9,0.9,2.0,1.0
2.0,precision,1.0,1.0,2.0,
2.0,recall,0.30000000000000004,0.30000000000000004,2.0,0.8082386363636364
2.0,recall,0.4,0.4,2.0,0.8004261363636364
2.0,recall,0.5,0.5,2.0,0.7466856060606061
2.0,recall,0.6,0.6,2.0,0.5932765151515151
2.0,recall,0.7000000000000001,0.7000000000000001,2.0,0.46993371212121215
2.0,recall,0.8,0.8,2.0,0.32315340909090906
2.0,recall,0.9,0.9,2.0,0.22253787878787878
2.0,recall,1.0,1.0,2.0,0.0
3.0,precision,0.30000000000000004,0.30000000000000004,3.0,0.0
3.0,precision,0.4,0.4,3.0,0.0
3.0,precision,0.5,0.5,3.0,0.0
3.0,precision,0.6,0.6,3.0,0.0
3.0,precision,0.7000000000000001,0.7000000000000001,3.0,0.0
3.0,precision,0.8,0.8,3.0,
3.0,precision,0.9,0.9,3.0,
3.0,precision,1.0,1.0,3.0,
3.0,recall,0.30000000000000004,0.30000000000000004,3.0,0.0
3.0,recall,0.4,0.4,3.0,0.0
3.0,recall,0.5,0.5,3.0,0.0
3.0,recall,0.6,0.6,3.0,0.0
3.0,recall,0.7000000000000001,0.7000000000000001,3.0,0.0
3.0,recall,0.8,0.8,3.0,0.0
3.0,recall,0.9,0.9,3.0,0.0
3.0,recall,1.0,1.0,3.0,0.0
